,zespol,slupek,nazwa_zespolu,id_ulicy,szer_geo,dlug_geo,kierunek,obowiazuje_od
1140,1406,05,Grzymalitów,2108,52.339312,20.944616,Nowodwory,2023-10-14 00:00:00.0
1141,1406,06,Grzymalitów,2108,52.338704,20.943884,Winnica,2023-10-14 00:00:00.0
1142,1406,51,Grzymalitów,null,52.338546,20.943908,null,2023-10-14 00:00:00.0
1143,1406,52,Grzymalitów,null,52.338941,20.942866,null,2023-10-14 00:00:00.0
1144,1407,02,Wenecka,0137,52.356885,21.133208,Struga,2023-10-14 00:00:00.0
1145,1408,01,Akademijna,0145,52.376782,20.933111,os.Przylesie,2023-10-14 00:00:00.0
1146,1408,02,Akademijna,0145,52.377294,20.932289,Szarych Szeregów,2023-10-14 00:00:00.0
1147,1409,01,os.Przylesie,0145,52.374443,20.933640,Zegrzyńska,2023-10-14 00:00:00.0
1148,1409,02,os.Przylesie,0145,52.375208,20.934517,Leśna,2023-10-14 00:00:00.0
1149,1411,01,Strużańska,2091,52.404091,20.950368,Krakusa,2023-10-14 00:00:00.0
1150,1412,01,Krakusa,2091,52.401030,20.954380,Polna,2023-10-14 00:00:00.0
1151,1412,02,Krakusa,2091,52.401505,20.953891,Zegrzyńska,2023-10-14 00:00:00.0
1152,1413,01,Objazdowa,2091,52.391095,20.981953,Szkolna,2023-10-14 00:00:00.0
1153,1413,02,Objazdowa,2091,52.391850,20.981360,gen.Roi,2023-10-14 00:00:00.0
1154,1414,01,Szkolna,2091,52.384490,21.001298,Kąty Węgierskie,2023-10-14 00:00:00.0
1155,1414,02,Szkolna,2091,52.385046,21.000334,Objazdowa,2023-10-14 00:00:00.0
1156,1415,01,Kąty Węgierskie,2091,52.387807,21.014327,Anusinek,2023-10-14 00:00:00.0
1157,1415,02,Kąty Węgierskie,2091,52.387366,21.014749,--------- LEGIONOWO ----------,2023-10-14 00:00:00.0
1158,1416,01,Anusinek,2091,52.382030,21.020230,Rembelszczyzna,2023-10-14 00:00:00.0
1159,1416,02,Anusinek,2091,52.383270,21.018594,Kąty Węgierskie,2023-10-14 00:00:00.0
