,Lines,Lon,VehicleNumber,Time,Lat,Brigade,Speed
22752,516,21.000675,9405,2024-02-19 10:25:25,52.292519,4,63.6402453877496
3311,103,20.957928,9414,2024-02-19 10:19:40,52.245934,010,61.701889767102315
5078,103,20.956425,9414,2024-02-19 10:20:05,52.249519,010,59.26415152006292
8613,103,20.948563,9414,2024-02-19 10:21:12,52.256653,010,70.90044783648666
10380,103,20.950895,9414,2024-02-19 10:21:36,52.259464,010,52.58401237934513
12147,103,20.957172,9414,2024-02-19 10:22:23,52.26585,010,63.47371954559387
15683,103,20.967686,9414,2024-02-19 10:23:29,52.273773,010,80.46336647449724
20988,103,20.97912,9414,2024-02-19 10:24:56,52.279781,010,57.943832101097556
22756,103,20.986368,9414,2024-02-19 10:25:31,52.283173,010,63.85171494294621
24525,103,20.992659,9414,2024-02-19 10:26:01,52.285992,010,63.65423277229262
26293,103,21.000378,9414,2024-02-19 10:26:37,52.289181,010,63.3559135955289
29829,103,20.998732,9414,2024-02-19 10:27:34,52.294819,010,63.191303398126465
31597,103,20.994366,9414,2024-02-19 10:28:04,52.298752,010,63.43099901389736
33365,103,20.990379,9414,2024-02-19 10:28:40,52.302662,010,51.237249266530526
38669,103,20.984077,9414,2024-02-19 10:30:09,52.308121,010,53.80281493653513
29833,326,20.977392,9418,2024-02-19 10:27:35,52.278885,1,59.84121741395307
35137,326,20.989418,9418,2024-02-19 10:29:10,52.284557,1,58.95566413640677
36905,326,20.995916,9418,2024-02-19 10:29:42,52.287491,1,61.802957440198824
38673,326,21.001755,9418,2024-02-19 10:30:10,52.289539,1,58.8606881455407
42208,326,20.997408,9418,2024-02-19 10:31:16,52.29591,1,59.019600773386365
43975,326,20.994091,9418,2024-02-19 10:31:42,52.299,1,56.910067767288446
21004,516,20.955173,9430,2024-02-19 10:24:57,52.320766,2,83.19014693705289
3331,326,21.028456,9434,2024-02-19 10:19:40,52.342812,2,54.97125258068537
6866,326,21.029078,9434,2024-02-19 10:20:38,52.33794,2,50.333222793767135
17471,326,21.025703,9434,2024-02-19 10:23:55,52.322468,2,78.35354971586716
19239,326,21.019482,9434,2024-02-19 10:24:35,52.318882,2,52.30667851114547
38692,516,20.992861,9437,2024-02-19 10:30:07,52.300159,3,56.620453889543775
5102,326,21.057756,9438,2024-02-19 10:20:03,52.305897,3,50.29944482790077
15707,326,21.05265,9438,2024-02-19 10:23:27,52.305103,3,60.495148215270234
3338,157,21.004683,9441,2024-02-19 10:19:35,52.290836,011,57.95998952432583
5105,157,21.01063,9441,2024-02-19 10:20:05,52.292759,011,54.90086198422144
6873,157,21.016607,9441,2024-02-19 10:20:35,52.2943,011,52.935303476473926
24573,715,20.926148667,9502,2024-02-19 10:26:04,52.1597155,53,50.1926392362319
38719,220,20.8940845,9505,2024-02-19 10:30:10,52.210124667,1,53.89058250986793
36964,121,20.893490833,9518,2024-02-19 10:29:46,52.209306667,04,54.279965737260824
38732,121,20.891468833,9518,2024-02-19 10:30:11,52.206159167,04,54.16265974863586
6911,194,20.9154985,9520,2024-02-19 10:20:36,52.2170665,65,54.17178628321439
45807,743,20.798560167,9524,2024-02-19 10:32:16,52.230647667,3,51.151095367397325
49348,743,20.763875667,9527,2024-02-19 10:33:24,52.231598833,2,71.57509991441194
52885,743,20.751139167,9527,2024-02-19 10:34:29,52.230769667,2,56.43348034566924
6928,715,20.926541333,9539,2024-02-19 10:20:41,52.169178,058,50.017412720733226
8695,715,20.918925333,9539,2024-02-19 10:21:16,52.171513,058,59.72645790683781
10462,715,20.9155855,9539,2024-02-19 10:21:36,52.173227167,058,53.45871083324606
12229,715,20.915058167,9539,2024-02-19 10:22:26,52.1797985,058,52.673983463714315
13997,715,20.916070667,9539,2024-02-19 10:22:46,52.182719833,058,59.776511622668494
15765,715,20.9181985,9539,2024-02-19 10:23:31,52.188634,058,53.87478429191248
21070,715,20.912377167,9539,2024-02-19 10:24:56,52.193929667,058,53.44093452038583
22838,715,20.906078667,9539,2024-02-19 10:25:31,52.1970855,058,57.03128797243885
24607,715,20.900451667,9539,2024-02-19 10:26:01,52.200243667,058,62.399649676178754
35215,715,20.8874275,9539,2024-02-19 10:29:06,52.206242,058,50.20916904695133
