,Lines,Lon,VehicleNumber,Time,Lat,Brigade,nearest_stop,distance_to_stop,is_at_stop
47121,317,20.9964895,8307,2024-02-19 10:33:00,52.1877505,5,,,no
47122,141,21.113124,8308,2024-02-19 10:33:08,52.237241,5,2105,90.4146841061441,no
47123,189,20.9643821,8309,2024-02-19 10:33:03,52.1880615,12,4085,21.729106015279726,no
47124,193,20.9968018,8310,2024-02-19 10:33:01,52.186432,07,R-07,234.76990671207616,no
47125,172,21.052832,8311,2024-02-19 10:32:56,52.1843886,1,3032,45.344127946054044,no
47126,168,20.9958228,8312,2024-02-19 10:33:04,52.1929341,3,3256,9.918772415620007,yes
47127,136,21.053135,8313,2024-02-19 10:32:51,52.146108,6,3142,32.43694590325463,no
47129,217,20.9972256,8315,2024-02-19 10:32:44,52.1878838,06,R-07,96.52376322149887,no
47130,148,21.0965083,8316,2024-02-19 10:33:03,52.2324433,8,2250,8.96843768470877,yes
47131,317,20.996993,8317,2024-02-19 10:33:04,52.1876865,4,,,no
47132,143,21.177044,8318,2024-02-19 10:33:04,52.2569645,4,2086,9.198587245874629,yes
47133,168,20.9969276,8319,2024-02-19 10:33:03,52.1889161,4,3258,18.790114602244355,no
47134,504,21.0541843,8320,2024-02-19 10:33:03,52.1333776,2,3203,16.58281298581573,no
47135,193,20.9972205,8321,2024-02-19 10:33:00,52.1864656,08,R-07,237.88169825659998,no
47137,138,21.0104728,8323,2024-02-19 10:33:02,52.203379,9,3229,66.78605369234336,no
47138,168,21.0307426,8324,2024-02-19 10:33:03,52.206995,5,3026,74.21515087158447,no
47139,168,21.112746,8325,2024-02-19 10:32:57,52.236158,7,2105,14.13679347287663,yes
47140,136,20.997767,8326,2024-02-19 10:33:00,52.1877456,013,3258,127.34855472699788,no
47141,519,21.00283,8327,2024-02-19 10:33:06,52.229345,3,7002,18.598233193042525,no
47142,710,21.1225168,8328,2024-02-19 10:33:04,52.0907055,3,3185,4.141922738268018,yes
47143,N01,20.9966766,8329,2024-02-19 10:32:55,52.1868849,3,R-07,183.6554024451711,no
47145,710,21.0784296,8331,2024-02-19 10:33:02,52.1303825,5,3423,34.14786255271171,no
47146,138,21.0276166,8332,2024-02-19 10:33:00,52.219735,5,7037,73.3403419677942,no
47147,402,21.156048,8333,2024-02-19 10:32:49,52.240364,1,,,no
47148,162,21.0366285,8334,2024-02-19 10:32:59,52.2520265,7,1002,120.54821730716324,no
47149,217,21.068183,8335,2024-02-19 10:33:03,52.168666,5,3042,38.9157796804211,no
47150,141,20.9968926,8336,2024-02-19 10:32:57,52.1877365,012,R-07,97.3745859177668,no
47151,501,21.0139073,8337,2024-02-19 10:33:00,52.2257186,6,,,no
47152,165,21.0022643,8338,2024-02-19 10:33:03,52.1569416,2,3104,145.80128573615798,no
47153,709,21.0174245,8339,2024-02-19 10:33:02,52.1554423,4,3013,155.95125630233323,no
47154,501,21.030603,8340,2024-02-19 10:32:58,52.2065463,4,,,no
